epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4331.75,1.58484,1.10173,1.2142,0.66586,0.49868,0.52844,0.23205,1.85133,1.80192,1.22918,0.000166149,0.000166149,0.000166149
76,4389.08,1.58701,1.07821,1.19991,0.67378,0.50092,0.52044,0.22306,1.82873,1.89772,1.21479,0.000154982,0.000154982,0.000154982
77,4446.9,1.58413,1.0796,1.20645,0.6635,0.52109,0.53594,0.2307,1.82987,1.87615,1.21328,0.000144161,0.000144161,0.000144161
78,4504.05,1.56962,1.08337,1.20725,0.68128,0.50308,0.52823,0.22764,1.8322,1.85468,1.21688,0.000133695,0.000133695,0.000133695
79,4561.21,1.55943,1.07522,1.20178,0.67691,0.48696,0.51407,0.22439,1.83905,1.86183,1.21505,0.000123596,0.000123596,0.000123596
80,4618.46,1.53636,1.04184,1.18278,0.64485,0.529,0.53545,0.237,1.82446,1.85568,1.21692,0.000113873,0.000113873,0.000113873
81,4675.85,1.54559,1.05772,1.19386,0.69089,0.50879,0.52733,0.22889,1.82048,1.81508,1.21229,0.000104537,0.000104537,0.000104537
82,4733.15,1.52916,1.03504,1.18405,0.67929,0.50395,0.52597,0.23498,1.82067,1.84364,1.20838,9.55951e-05,9.55951e-05,9.55951e-05
83,4790.89,1.51553,1.02723,1.1721,0.70201,0.49341,0.53322,0.23937,1.80969,1.78038,1.21324,8.70577e-05,8.70577e-05,8.70577e-05
84,4848.28,1.52515,1.02271,1.17801,0.69438,0.50411,0.52991,0.23475,1.81353,1.73914,1.21124,7.89327e-05,7.89327e-05,7.89327e-05
85,4905.55,1.53965,1.03539,1.19171,0.67252,0.51611,0.52498,0.2339,1.80644,1.75547,1.20735,7.12282e-05,7.12282e-05,7.12282e-05
86,4962.76,1.54225,1.04538,1.17865,0.68202,0.50132,0.52181,0.23303,1.81674,1.74744,1.20762,6.39518e-05,6.39518e-05,6.39518e-05
87,5020.22,1.52993,1.01745,1.17775,0.65614,0.50967,0.5202,0.23292,1.80978,1.74103,1.21064,5.71106e-05,5.71106e-05,5.71106e-05
88,5077.82,1.49787,1.00254,1.16612,0.68317,0.50527,0.53353,0.23917,1.81878,1.76033,1.21361,5.07115e-05,5.07115e-05,5.07115e-05
89,5135.11,1.49367,0.99398,1.17073,0.65321,0.51559,0.5336,0.23776,1.8197,1.74134,1.21409,4.47606e-05,4.47606e-05,4.47606e-05
90,5192.45,1.49386,1.00049,1.15715,0.66353,0.50791,0.52528,0.23441,1.81875,1.75748,1.21412,3.9264e-05,3.9264e-05,3.9264e-05
91,5251.69,1.39789,0.83844,1.10419,0.67332,0.5167,0.53163,0.23464,1.82399,1.80868,1.2117,3.4227e-05,3.4227e-05,3.4227e-05
92,5308.89,1.36598,0.81437,1.09266,0.70698,0.49505,0.52799,0.23704,1.81709,1.79066,1.20445,2.96546e-05,2.96546e-05,2.96546e-05
93,5366.02,1.36651,0.8181,1.09824,0.71331,0.49165,0.52566,0.236,1.81638,1.80602,1.20487,2.55513e-05,2.55513e-05,2.55513e-05
94,5423.04,1.36095,0.80894,1.09083,0.70943,0.50132,0.53605,0.23989,1.81056,1.77274,1.20229,2.19212e-05,2.19212e-05,2.19212e-05
95,5480.27,1.35519,0.80916,1.09477,0.70403,0.50132,0.5361,0.24048,1.80605,1.79067,1.20348,1.87678e-05,1.87678e-05,1.87678e-05
96,5537.37,1.37386,0.82029,1.10335,0.69609,0.50116,0.53246,0.24006,1.80265,1.79342,1.203,1.60943e-05,1.60943e-05,1.60943e-05
97,5594.42,1.36319,0.81217,1.08637,0.68419,0.51098,0.53349,0.23819,1.79902,1.8124,1.20235,1.39032e-05,1.39032e-05,1.39032e-05
98,5652.56,1.35753,0.80437,1.08637,0.70639,0.50088,0.53485,0.24095,1.80132,1.79558,1.20155,1.21968e-05,1.21968e-05,1.21968e-05
99,5710.13,1.36042,0.80732,1.09445,0.6819,0.50747,0.53561,0.24042,1.79492,1.78524,1.19771,1.09768e-05,1.09768e-05,1.09768e-05
100,5767.51,1.33315,0.79222,1.08723,0.71952,0.49033,0.53088,0.23911,1.79257,1.78957,1.19913,1.02443e-05,1.02443e-05,1.02443e-05
